title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
Grand Theft Auto V,Ps3,Action,Rockstar Games,Rockstar North,9.4,20.32,6.37,0.99,9.85,3.12,2013-09-17
Grand Theft Auto V,Ps4,Action,Rockstar Games,Rockstar North,9.7,19.39,6.06,0.6,9.71,3.02,2014-11-18
Grand Theft Auto: Vice City,Ps2,Action,Rockstar Games,Rockstar North,9.6,16.15,8.41,0.47,5.49,1.78,2002-10-28
Grand Theft Auto V,X360,Action,Rockstar Games,Rockstar North,,15.86,9.06,0.06,5.33,1.42,2013-09-17
Call of Duty: Black Ops 3,Ps4,Shooter,Activision,Treyarch,8.1,15.09,6.18,0.41,6.05,2.44,2015-11-06
Call of Duty: Modern Warfare 3,X360,Shooter,Activision,Infinity Ward,8.7,14.82,9.07,0.13,4.29,1.33,2011-11-08
Call of Duty: Black Ops,X360,Shooter,Activision,Treyarch,8.8,14.74,9.76,0.11,3.73,1.14,2010-11-09
Red Dead Redemption 2,Ps4,Action-Adventure,Rockstar Games,Rockstar Games,9.8,13.94,5.26,0.21,6.21,2.26,2018-10-26
Call of Duty: Black Ops II,X360,Shooter,Activision,Treyarch,8.4,13.86,8.27,0.07,4.32,1.2,2012-11-13
Call of Duty: Black Ops II,Ps3,Shooter,Activision,Treyarch,8.0,13.8,4.99,0.65,5.88,2.28,2012-11-13
Call of Duty: Modern Warfare 2,X360,Shooter,Activision,Infinity Ward,9.5,13.53,8.54,0.08,3.63,1.28,2009-11-10
Call of Duty: WWII,Ps4,Shooter,Activision,Sledgehammer Games,8.1,13.4,4.67,0.4,6.21,2.12,2017-11-03
Call of Duty: Modern Warfare 3,Ps3,Shooter,Activision,Infinity Ward,8.8,13.35,5.54,0.49,5.78,1.54,2011-11-08
Grand Theft Auto III,Ps2,Action,Rockstar Games,Dma Design,9.5,13.1,6.99,0.3,4.51,1.3,2001-10-23
Call of Duty: Black Ops,Ps3,Shooter,Activision,Treyarch,8.7,12.67,6.01,0.48,4.4,1.78,2010-11-09
FIFA 18,Ps4,Sports,Ea Sports,Ea Vancouver,8.3,11.8,1.27,0.15,8.64,1.73,2017-09-29
Grand Theft Auto IV,X360,Action,Rockstar Games,Rockstar North,10.0,11.09,6.8,0.14,3.11,1.04,2008-04-29
FIFA 17,Ps4,Sports,Electronic Arts,Ea Canada,8.9,10.94,1.26,0.12,7.95,1.61,2016-09-27
Call of Duty: Modern Warfare 2,Ps3,Shooter,Activision,Infinity Ward,9.5,10.61,4.99,0.38,3.66,1.59,2009-11-10
Grand Theft Auto IV,Ps3,Action,Rockstar Games,Rockstar North,10.0,10.57,4.79,0.44,3.73,1.62,2008-04-29
Call of Duty: Ghosts,X360,Shooter,Activision,Infinity Ward,6.9,10.41,6.76,0.04,2.64,0.98,2013-11-05
Call of Duty: Ghosts,Ps3,Shooter,Activision,Infinity Ward,7.5,10.13,4.11,0.39,4.01,1.62,2013-11-05
Halo: Reach,X360,Shooter,Microsoft Game Studios,Bungie,9.3,9.97,7.08,0.08,2.01,0.8,2010-09-14
Halo 4,X360,Shooter,Microsoft Studios,343 Industries,,9.96,6.72,0.04,2.36,0.83,2012-11-06
Call of Duty 4: Modern Warfare,X360,Shooter,Activision,Infinity Ward,9.6,9.41,5.98,0.13,2.39,0.91,2007-11-05
Call of Duty: Black Ops IIII,Ps4,Shooter,Activision,Treyarch,,9.32,4.05,0.5,3.28,1.49,2018-10-12
FIFA 19,Ps4,Sports,Electronic Arts,Ea Sports,,9.15,0.84,0.1,6.87,1.34,2018-09-28
The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.3,8.88,5.1,0.1,2.83,0.85,2011-11-11
Grand Theft Auto V,Xone,Action,Rockstar Games,Rockstar North,9.0,8.72,4.7,0.01,3.25,0.76,2014-11-18
Call of Duty: Infinite Warfare,Ps4,Shooter,Activision,Infinity Ward,7.9,8.48,3.11,0.19,3.83,1.36,2016-11-04
Fallout 4,Ps4,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.6,8.48,2.91,0.27,3.97,1.34,2015-11-10
FIFA 16,Ps4,Sports,Ea Sports,Ea Canada,8.5,8.22,1.15,0.07,5.77,1.23,2015-09-22
Star Wars Battlefront (2015),Ps4,Shooter,Electronic Arts,Ea Dice,7.1,8.03,3.31,0.23,3.19,1.3,2015-11-17
FIFA 13,Ps3,Sports,Ea Sports,Ea Canada,,8.01,1.07,0.13,5.13,1.68,2012-09-25
The Sims 3,Pc,Simulation,Electronic Arts,Ea Redwood Shores,8.5,7.96,1.01,,6.46,0.5,2009-06-02
Grand Theft Auto: Liberty City Stories,Psp,Action,Rockstar Games,Rockstar Leeds,8.8,7.72,2.9,0.24,2.83,1.74,2005-10-25
Call of Duty: Advanced Warfare,Ps4,Shooter,Activision,Sledgehammer Games,8.5,7.53,2.84,0.14,3.34,1.22,2014-11-04
Call of Duty: World at War,X360,Shooter,Activision,Treyarch,8.5,7.5,4.88,,1.91,0.71,2008-11-10
Call of Duty: Black Ops 3,Xone,Shooter,Activision,Treyarch,,7.37,4.63,0.02,2.04,0.68,2015-11-06
Battlefield 3,X360,Shooter,Electronic Arts,Dice,8.5,7.35,4.47,0.06,2.12,0.69,2011-10-25
Battlefield 1,Ps4,Shooter,Electronic Arts,Ea Dice,9.1,7.26,2.2,0.29,3.65,1.12,2016-10-21
Battlefield 3,Ps3,Shooter,Electronic Arts,Dice,8.5,7.21,2.86,0.35,2.94,1.07,2011-10-25
Need for Speed Underground,Ps2,Racing,Electronic Arts,Ea Black Box,8.6,7.2,3.27,0.08,2.83,1.02,2003-11-17
Need for Speed Underground 2,Ps2,Racing,Electronic Arts,Ea Black Box,8.3,6.9,2.71,0.08,3.02,1.09,2004-11-15
Just Dance 4,Wii,Music,Ubisoft,Ubisoft,,6.89,4.05,,2.21,0.62,2012-10-09
Medal of Honor: Frontline,Ps2,Shooter,Electronic Arts,Ea Los Angeles,9.0,6.83,2.93,0.17,2.75,0.99,2002-05-28
Uncharted 2: Among Thieves,Ps3,Action,Sony Computer Entertainment,Naughty Dog,9.5,6.74,3.28,0.21,2.22,1.02,2009-10-13
Call of Duty 4: Modern Warfare,Ps3,Shooter,Activision,Infinity Ward,9.5,6.72,3.13,0.28,2.27,1.04,2007-11-05
FIFA Soccer 12,Ps3,Sports,Ea Sports,Ea Canada,9.2,6.65,0.84,0.11,4.33,1.37,2011-09-27
FIFA 14,Ps3,Sports,Ea Sports,Ea Canada,,6.61,0.79,0.07,4.77,0.98,2013-09-24
Red Dead Redemption,Ps3,Action,Rockstar Games,Rockstar San Diego,9.5,6.57,2.82,0.17,2.58,1.0,2011-10-11
Red Dead Redemption,X360,Action,Rockstar Games,Rockstar San Diego,9.5,6.5,3.77,0.09,2.03,0.6,2010-05-18
Assassin's Creed III,Ps3,Action-Adventure,Ubisoft,Ubisoft Montreal,8.8,6.5,2.65,0.16,2.61,1.08,2012-10-30
The Elder Scrolls V: Skyrim,Ps3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.0,6.49,2.57,0.25,2.68,0.99,2011-11-11
Minecraft,Ps4,Misc,Sony Computer Entertainment,Mojang,9.4,6.33,1.89,0.35,3.13,0.96,2014-10-07
FIFA 15,Ps4,Sports,Ea Sports,Ea Canada,8.1,6.32,0.83,0.05,4.49,0.94,2014-09-23
Driver,Ps,Action,Gt Interactive,Reflections Interactive,8.5,6.27,3.11,0.02,2.8,0.33,1999-06-30
Call of Duty: WWII,Xone,Shooter,Activision,Sledgehammer Games,,6.23,3.75,,1.91,0.57,2017-11-03
Minecraft,Ps3,Misc,Sony Computer Entertainment America,Mojang,,6.05,2.21,,2.86,0.99,2014-05-16
Red Dead Redemption 2,Xone,Action-Adventure,Rockstar Games,Rockstar Games,,5.77,3.76,,1.47,0.54,2018-10-26
Destiny,Ps4,Shooter,Activision,Bungie,,5.76,2.53,0.16,2.13,0.94,2014-09-09
Tekken 2,Ps,Fighting,Namco,Namco,9.1,5.74,2.26,1.36,1.89,0.23,1996-08-25
LEGO Star Wars: The Complete Saga,Wii,Action,Lucasarts,Traveller'S Tales,8.0,5.66,3.57,,1.57,0.52,2007-11-06
Cooking Mama,Ds,Simulation,Majesco,Office Create,6.6,5.66,3.09,0.07,1.92,0.58,2006-09-12
Assassin's Creed II,Ps3,Action,Ubisoft,Ubisoft Montreal,9.0,5.57,2.54,0.21,1.95,0.86,2009-11-17
Assassin's Creed,X360,Action,Ubisoft,Ubisoft Montreal,8.2,5.55,3.28,0.07,1.64,0.56,2007-11-13
Batman: Arkham City,Ps3,Action,Warner Bros. Interactive,Rocksteady Studios,9.6,5.54,2.72,0.11,1.89,0.82,2011-10-18
Forza Motorsport 3,X360,Racing,Microsoft Game Studios,Turn 10 Studios,9.2,5.5,2.99,0.1,1.9,0.51,2009-10-27
Call of Duty: World at War,Ps3,Shooter,Activision,Treyarch,8.4,5.43,2.75,,1.84,0.84,2008-11-10
Minecraft,Xone,Misc,Microsoft Studios,Mojang,,5.43,3.23,,1.71,0.49,2014-11-18
Crash Bandicoot: The Wrath of Cortex,Ps2,Platform,Universal Interactive,Traveller'S Tales,6.9,5.42,2.07,0.24,2.29,0.82,2001-10-29
